Mã tổ hợp,Tổ hợp môn,Mã trường,Tên trường,Phương thức,Tên ngành,Tổ hợp xét tuyển,Điểm chuẩn 2025,Điểm chuẩn 2024,Điểm chuẩn 2023
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Ngôn ngữ Anh,A00,26.51,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế học,A00,26.52,27.2,27.1
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế và quản lý đô thị,A00,25.8,27.01,27.05
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế và quản lý nguồn nhân lực,A00,26.79,27.34,27.15
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế đầu tư,A00,27.5,27.4,27.5
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế phát triển,A00,26.77,27.2,27.35
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế quốc tế,A00,28.13,27.54,27.35
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Thống kê kinh tế,A00,26.79,36.23,36.2
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Toán kinh tế,A00,26.73,36.2,35.95
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quan hệ công chúng,A00,28.07,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị kinh doanh,A00,27.1,27.15,27.25
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Marketing,A00,28.12,27.78,27.55
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Bất động sản,A00,25.41,26.83,26.4
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh doanh quốc tế,A00,28.6,27.71,27.5
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh doanh thương mại,A00,28,27.57,27.35
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Thương mại điện tử,A00,28.83,28.02,27.65
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Tài chính – Ngân hàng,A00,27.34,27.3,27.1
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Bảo hiểm,A00,24.75,26.71,26.4
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kế toán,A00,27.1,27.29,27.05
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kiểm toán,A00,28.38,27.79,27.2
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Khoa học quản lý,A00,26.06,27.1,27.05
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản lý công,A00,25.42,26.96,26.75
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị nhân lực,A00,27.1,27.25,27.1
